order,u,v,weight,cumulative_cost
76,39,38,197.49785714285716,16275.070714285712
77,37,39,281.57,16556.640714285713
78,51,37,181.84571428571428,16738.48642857143
79,49,51,406.62142857142857,17145.107857142855
80,50,49,198.93357142857144,17344.041428571425
81,48,50,222.9171428571429,17566.958571428568
82,47,48,179.19285714285715,17746.151428571426
83,48,47,179.19285714285715,17925.344285714284
84,46,48,203.02428571428567,18128.368571428568
85,58,46,220.2921428571429,18348.66071428571
86,94,58,205.49571428571429,18554.156428571423
87,57,94,78.37857142857143,18632.534999999996
88,94,57,78.37857142857143,18710.91357142857
89,71,94,210.50071428571428,18921.414285714283
90,82,71,179.59714285714284,19101.011428571426
91,80,82,178.98142857142858,19279.992857142854
92,81,80,547.0557142857143,19827.048571428568
93,79,81,166.84642857142856,19993.894999999997
94,78,79,369.13214285714287,20363.02714285714
95,80,78,267.50714285714287,20630.534285714282
96,70,80,198.7621428571429,20829.296428571426
97,68,70,445.0864285714285,21274.382857142853
98,70,68,445.0864285714285,21719.46928571428
99,57,70,211.24357142857144,21930.71285714285
100,69,57,176.79142857142858,22107.50428571428
101,56,69,491.3614285714286,22598.86571428571
102,44,56,279.8864285714285,22878.752142857138
103,46,44,220.3057142857143,23099.057857142852
104,45,46,176.2342857142857,23275.29214285714
105,47,45,183.87142857142857,23459.163571428566
106,33,47,183.65785714285715,23642.821428571424
107,47,33,183.65785714285715,23826.479285714282
108,49,47,222.75357142857143,24049.232857142855
109,35,49,303.70714285714286,24352.94
110,37,35,386.0792857142857,24739.019285714283
111,36,37,117.42571428571428,24856.444999999996
112,38,36,444.4721428571429,25300.91714285714
113,22,38,601.3971428571429,25902.31428571428
114,25,22,241.00785714285715,26143.322142857138
115,24,25,756.7278571428571,26900.049999999996
116,21,24,301.065,27201.114999999994
117,24,21,301.065,27502.179999999993
118,23,24,196.10142857142856,27698.281428571423
119,20,23,238.71,27936.991428571422
120,21,20,236.71,28173.70142857142
121,18,21,387.6792857142857,28561.380714285708
122,21,18,387.6792857142857,28949.059999999994
123,22,21,759.2957142857143,29708.35571428571
124,19,22,404.15,30112.50571428571
125,18,19,639.1735714285714,30751.679285714283
126,19,18,639.1735714285714,31390.852857142854
127,17,19,126.54642857142858,31517.399285714284
128,36,17,374.6821428571429,31892.081428571426
129,34,36,425.295,32317.376428571424
130,35,34,198.66071428571428,32516.037142857138
131,33,35,182.45142857142855,32698.488571428567
132,32,33,158.65357142857144,32857.14214285714
133,30,32,162.11857142857144,33019.260714285716
134,32,30,162.11857142857144,33181.37928571429
135,33,32,158.65357142857144,33340.03285714286
136,31,33,162.64428571428573,33502.677142857145
137,45,31,243.76,33746.43714285715
138,43,45,182.1292857142857,33928.56642857143
139,42,43,334.37714285714287,34262.94357142857
140,27,42,117.60214285714288,34380.54571428571
141,28,27,41.86,34422.40571428571
142,31,28,223.68785714285715,34646.09357142857
143,30,31,194.90571428571428,34840.999285714286
144,29,30,277.7764285714286,35118.775714285715
145,11,29,182.1021428571429,35300.877857142856
146,32,11,239.49142857142857,35540.36928571428
147,34,32,200.6242857142857,35740.99357142857
